Movie Title,Date of Release,Movie Rank,Movie Rating
The Shawshank Redemption,1994,1,9.3
The Godfather,1972,2,9.2
The Dark Knight,2008,3,9.0
The Godfather: Part II,1974,4,9.0
12 Angry Men,1957,5,9.0
Schindler's List,1993,6,9.0
The Lord of the Rings: The Return of the King,2003,7,9.0
Pulp Fiction,1994,8,8.9
The Lord of the Rings: The Fellowship of the Ring,2001,9,8.8
"Il buono, il brutto, il cattivo",1966,10,8.8
Forrest Gump,1994,11,8.8
Fight Club,1999,12,8.8
The Lord of the Rings: The Two Towers,2002,13,8.8
Inception,2010,14,8.8
The Empire Strikes Back,1980,15,8.7
The Matrix,1999,16,8.7
Goodfellas,1990,17,8.7
One Flew Over the Cuckoo's Nest,1975,18,8.7
Spider-Man: Across the Spider-Verse,2023,19,8.7
Se7en,1995,20,8.6
It's a Wonderful Life,1946,21,8.6
Shichinin no samurai,1954,22,8.6
The Silence of the Lambs,1991,23,8.6
Interstellar,2014,24,8.7
Saving Private Ryan,1998,25,8.6
Cidade de Deus,2002,26,8.6
La Vita è bella,1997,27,8.6
The Green Mile,1999,28,8.6
Star Wars,1977,29,8.6
Terminator 2: Judgment Day,1991,30,8.6
Back to the Future,1985,31,8.5
Sen to Chihiro no kamikakushi,2001,32,8.6
The Pianist,2002,33,8.5
Psycho,1960,34,8.5
Gisaengchung,2019,35,8.5
Gladiator,2000,36,8.5
The Lion King,1994,37,8.5
Léon,1994,38,8.5
American History X,1998,39,8.5
The Departed,2006,40,8.5
Whiplash,2014,41,8.5
The Prestige,2006,42,8.5
Oppenheimer,2023,43,8.6
The Usual Suspects,1995,44,8.5
Hotaru no haka,1988,45,8.5
Seppuku,1962,46,8.6
Casablanca,1942,47,8.5
Intouchables,2011,48,8.5
Modern Times,1936,49,8.5
Nuovo Cinema Paradiso,1988,50,8.5
C'era una volta il West,1968,51,8.5
Rear Window,1954,52,8.5
Alien,1979,53,8.5
City Lights,1931,54,8.5
Apocalypse Now,1979,55,8.4
Memento,2000,56,8.4
Django Unchained,2012,57,8.5
Raiders of the Lost Ark,1981,58,8.4
WALL·E,2008,59,8.4
Das Leben der Anderen,2006,60,8.4
Sunset Blvd.,1950,61,8.4
Paths of Glory,1957,62,8.4
Avengers: Infinity War,2018,63,8.4
The Shining,1980,64,8.4
The Great Dictator,1940,65,8.4
Witness for the Prosecution,1957,66,8.4
Spider-Man: Into the Spider-Verse,2018,67,8.4
Aliens,1986,68,8.4
The Dark Knight Rises,2012,69,8.4
Inglourious Basterds,2009,70,8.3
American Beauty,1999,71,8.3
